"img","x_pos","y_pos"
"P001372",0.4319751,0.7753711
"P007703",0.723469,0.6854341
"P001366",0.5137366,0.65551347
"P006409",0.67479736,0.42293313
"P007717",0.622347,0.46098626
"P000078",0.43572143,0.1108357
"P005100",0.2723395,0.6652907
"P002109",0.10330013,0.2747024
"P004578",0.6384712,0.5830375
"P003217",0.21814471,0.51916915
"P007071",0.42594922,0.21953051
"P001400",0.43033522,0.58827794
"P006384",0.3902246,0.6578656
"P004593",0.5932746,0.76673484
"P005855",0.57684684,0.5262374
"P002684",0.41284353,0.16424592
"P000093",0.47715214,0.6598432
"P007924",0.75150824,0.48394105
"P000087",0.43535832,0.26129106
"P001399",0.43028843,0.5882319
"P007930",0.8326333,0.55179936
"P002690",0.2501413,0.22257785
"P002848",0.2103457,0.29284492
"P004587",0.55423605,0.67778164
"P005841",0.36245808,0.77867126
"P005699",0.65229946,0.40786743
"P000939",0.75479126,0.4824022
"P006390",0.1560438,0.6192256
"P005869",0.47704247,0.17307113
"P000911",0.82603985,0.4634383
"P007918",0.79306084,0.5204932
"P002860",0.6069084,0.6809355
"P002874",0.13920116,0.21166945
"P000905",0.80246043,0.4772486
"P004424",0.34585792,0.5944478
"P002055",0.57116634,0.5332664
"P006233",0.42294088,0.6264636
"P000642",0.34923822,0.23846048
"P000124",0.65114045,0.35417193
"P006555",0.44546077,0.33257577
"P007893",0.55840605,0.44440302
"P002733",0.4698835,0.72365516
"P004342",0.43757513,0.80017364
"P005048",0.60658574,0.49370468
"P003439",0.29612386,0.20464364
"P000130",0.1868042,0.5787675
"P006541",0.6392464,0.79926366
"P007887",0.51172924,0.6843622
"P001548",0.3061838,0.6696616
"P007139",0.31256443,0.6613774
"P000656",0.5154185,0.5746871
"P004430",0.5193116,0.54903233
"P002041",0.44996056,0.498567
"P001560",0.31672317,0.35580036
"P007111",0.5593006,0.5460247
"P008222",0.33293363,0.49273664
"P003377",0.34725803,0.42251122
"P004418",0.32441863,0.5092719
"P005706",0.5308546,0.35427967
"P002069",0.6662283,0.66204655
"P003411",0.31772044,0.22363053
"P000118",0.43740726,0.46205735
"P007677",0.6490845,0.7285212
"P006569",0.3307366,0.65978664
"P001206",0.3875499,0.32914388
"P001212",0.6921755,0.4594594
"P005074",0.4372489,0.26910445
"P003405",0.25201845,0.170031
"P003363",0.24354596,0.24899167
"P005712",0.55732065,0.7272469
"P001574",0.5806169,0.6162079
"P008236",0.24692772,0.66550523
"P000859",0.45869493,0.53875804
"P002096",0.5633125,0.64666617
"P005921",0.5846704,0.49911782
"P003388",0.5024386,0.6161082
"P004381",0.3948702,0.8266553
"P006596",0.66455084,0.7928846
"P007850",0.082350396,0.43261176
"P006582",0.16456217,0.434042
"P007844",0.19639936,0.5176452
"P004395",0.24801312,0.5884445
"P002082",0.60679394,0.68306786
"P005935",0.55509496,0.36650258
"P000695",0.27438504,0.3977272
"P000865",0.19157952,0.32268485
"P002914",0.40903547,0.45816487
"P007878",0.50530213,0.5241866
"P000871",0.2715652,0.44838926
"P002531",0.6708744,0.4878734
"P001038",0.33267203,0.43809485
"P006757",0.6675338,0.6797838
"P000326",0.2345045,0.21914344
"P000440",0.468676,0.44207898
"P002257",0.61987793,0.70603484
"P005538",0.341244,0.8292367
"P004626",0.4955232,0.41663602
"P003149",0.20238677,0.59728634
"P002243",0.59633523,0.66879565
"P004632",0.44205558,0.49002892
"P000454",0.11549936,0.48136303
"P001992",0.8105007,0.5099643
"P006025",0.6562785,0.52142394
"P006743",0.32881966,0.57805115
"P000332",0.18291642,0.29680905
"P004154",0.34733373,0.43600345
"P002525",0.3555718,0.6836456
"P007475",0.060017325,0.52396065
"P005262",0.31375623,0.70507866
"P005504",0.15846828,0.58269835
"P008020",0.5008053,0.25920555
"P001762",0.390941,0.5437903
"P000468",0.28360942,0.6456175
"P008034",0.22851487,0.21995068
"P005510",0.6791781,0.42995405
"P003161",0.5795339,0.49997264
"P002519",0.68475676,0.37938344
"P001010",0.13364656,0.2427242
"P007461",0.44220594,0.003339776
"P006794",0.6472068,0.44927663
"P002294",0.11203671,0.46180794
"P000483",0.4752247,0.44601253
"P001945",0.5633861,0.46840304
"P001789",0.5571883,0.61696535
"P000497",0.4079593,0.408393
"P001951",0.5750474,0.32422718
"P002280",0.52560997,0.5127388
"P004829",0.53106445,0.57417494
"P003820",0.46936414,0.014690141
"P005289",0.5888434,0.6426802
"P004197",0.6201786,0.6772742
"P003808",0.41883358,0.44130963
